"","Home","Away","Home_score","Away_score","Winner","H_Overall_W","H_Overall_L","H_Overall_Pct","H_Conf_W","H_Conf_L","H_Conf_Pct","H_Pts_for","H_Pts_against","H_SRS","H_SOS","H_Poll_curr","H_Poll_pre","H_Poll_high","H_Offensive_Points","H_Offensive_Pass_Completions","H_Offensive_Pass_Attempts","H_Offensive_Pass_Pct","H_Offensive_Pass_Yrds","H_Offensive_Pass_TD","H_Offensive_RusH_Attempts","H_Offensive_RusH_Yards","H_Offensive_RusH_Yards_Average","H_Offensive_RusH_TD","H_Offensive_Total_Plays","H_Offensive_Total_Yards","H_Offensive_Total_Average","H_Offensive_First_Downs_Pass","H_Offensive_First_Downs_Rush","H_Offensive_First_Downs_Penalty","H_Offensive_First_Downs_Total","H_Offensive_Penalties_Number","H_Offensive_Penalties_Yards","H_Offensive_Turnovers_Fumbles","H_Offensive_Turnovers_Pass_Interception","H_Offensive_Turnovers_Total","H_Defensive_Points","H_Defensive_Pass_Completions","H_Defensive_Pass_Attempts","H_Defensive_Pass_Pct","H_Defensive_Pass_Yrds","H_Defensive_Pass_TD","H_Defensive_RusH_Attempts","H_Defensive_RusH_Yards","H_Defensive_RusH_Yards_Average","H_Defensive_RusH_TD","H_Defensive_Total_Plays","H_Defensive_Total_Yards","H_Defensive_Total_Average","H_Defensive_First_Downs_Pass","H_Defensive_First_Downs_Rush","H_Defensive_First_Downs_Penalty","H_Defensive_First_Downs_Total","H_Defensive_Penalties_Number","H_Defensive_Penalties_Yards","H_Defensive_Turnovers_Fumbles","H_Defensive_Turnovers_Pass_Interception","H_Defensive_Turnovers_Total","A_Overall_W","A_Overall_L","A_Overall_Pct","A_Conf_W","A_Conf_L","A_Conf_Pct","A_Pts_for","A_Pts_against","A_SRS","A_SOS","A_Poll_curr","A_Poll_pre","A_Poll_high","A_Offensive_Points","A_Offensive_Pass_Completions","A_Offensive_Pass_Attempts","A_Offensive_Pass_Pct","A_Offensive_Pass_Yrds","A_Offensive_Pass_TD","A_Offensive_RusA_Attempts","A_Offensive_RusA_Yards","A_Offensive_RusA_Yards_Average","A_Offensive_RusA_TD","A_Offensive_Total_Plays","A_Offensive_Total_Yards","A_Offensive_Total_Average","A_Offensive_First_Downs_Pass","A_Offensive_First_Downs_Rush","A_Offensive_First_Downs_Penalty","A_Offensive_First_Downs_Total","A_Offensive_Penalties_Number","A_Offensive_Penalties_Yards","A_Offensive_Turnovers_Fumbles","A_Offensive_Turnovers_Pass_Interception","A_Offensive_Turnovers_Total","A_Defensive_Points","A_Defensive_Pass_Completions","A_Defensive_Pass_Attempts","A_Defensive_Pass_Pct","A_Defensive_Pass_Yrds","A_Defensive_Pass_TD","A_Defensive_RusA_Attempts","A_Defensive_RusA_Yards","A_Defensive_RusA_Yards_Average","A_Defensive_RusA_TD","A_Defensive_Total_Plays","A_Defensive_Total_Yards","A_Defensive_Total_Average","A_Defensive_First_Downs_Pass","A_Defensive_First_Downs_Rush","A_Defensive_First_Downs_Penalty","A_Defensive_First_Downs_Total","A_Defensive_Penalties_Number","A_Defensive_Penalties_Yards","A_Defensive_Turnovers_Fumbles","A_Defensive_Turnovers_Pass_Interception","A_Defensive_Turnovers_Total"
"29","Indiana","Penn State",28,33,1,5,7,0.417,2,7,0.222,26.4,29.9,2.93,6.1,NA,NA,NA,26.4,26.3,40.1,65.7,257.8,1.7,35.7,157.3,4.4,1.4,75.8,415.2,5.5,11.9,8.8,2.8,23.5,5.9,60.8,0.7,1.1,1.8,29.9,18.8,30.8,61,240.6,2.3,39.9,183.2,4.6,1.4,70.7,423.8,6,10.8,9.6,2.3,22.7,6.7,66.6,1.1,1.1,2.2,9,3,0.75,6,3,0.667,34.6,20,13.38,4.71,14,10,8,34.6,15.8,28.8,54.8,215.8,1.6,39.9,208.5,5.2,2.8,68.7,424.3,6.2,8.9,10.2,2.3,21.4,4.8,43.9,1,0.6,1.6,20,17.8,33.4,53.4,186.5,1.2,42.3,168.4,4,1.2,75.7,354.9,4.7,9.1,9.4,1.8,20.3,7.8,70.2,0.6,1.1,1.7
"30","Purdue","Ohio State",49,20,0,6,6,0.5,5,4,0.556,31.9,27.3,8.99,6.4,NA,NA,NA,31.9,25.9,39.3,66,317.8,2.3,31.1,141.2,4.5,1.5,70.3,459,6.5,12.2,7.7,2.4,22.3,6.3,64.8,0.5,0.9,1.4,27.3,23.8,38.3,62,280.8,1.4,37.3,164.6,4.4,1.8,75.6,445.3,5.9,12.8,8.8,2,23.6,7.8,77.5,0.3,0.9,1.2,11,1,0.917,8,1,0.889,43.3,25.8,17.43,3.85,6,5,2,43.3,28,40.2,69.7,356,3.5,41,188.1,4.6,1.8,81.2,544.1,6.7,16,10.3,2.9,29.2,8.2,76,0.7,0.6,1.3,25.8,17.4,32.5,53.6,237.6,1.3,35.7,161.9,4.5,1.8,68.2,399.5,5.9,9.8,7.3,2.6,19.7,6,60,0.9,0.8,1.7
"31","Wisconsin","Illinois",49,20,0,7,5,0.583,5,4,0.556,29.3,24.3,6.21,2.71,NA,4,4,29.3,14.4,24.4,59,168.6,1.5,42.8,268.4,6.3,2.3,67.2,437,6.5,8.1,13.2,0.7,21.9,6.1,57.3,0.8,1.1,1.9,24.3,16.9,28.7,59,200.8,1.2,35.9,157.9,4.4,1.4,64.6,358.8,5.6,8.8,7.9,2,18.7,3.6,34.7,0.8,0.8,1.7,4,8,0.333,2,7,0.222,26,39.4,-5.61,1.23,NA,NA,NA,26,14.8,27.3,54,165.7,0.8,40.8,244.8,6,2.1,68.2,410.4,6,7.6,10.4,1.4,19.4,6.3,64.4,0.8,1.2,2,39.4,19.7,31,63.4,263.1,2.5,41.1,245.3,6,2.6,72.1,508.4,7.1,10.9,12.3,1.9,25.1,6,58.8,0.4,1.3,1.7
"32","Minnesota","Indiana",38,31,0,6,6,0.5,3,6,0.333,28.5,27.9,3.71,4.38,NA,NA,NA,28.5,15.3,27.8,55,215.2,1.5,40,163.8,4.1,1.8,67.8,379,5.6,9.5,9,2.3,20.8,3.9,39.8,0.9,1.2,2.1,27.9,21.7,33.1,65.5,223.7,1.8,32.7,170.7,5.2,1.6,65.8,394.3,6,9.8,7.5,1.3,18.6,5.7,54.1,0.8,0.9,1.7,5,7,0.417,2,7,0.222,26.4,29.9,2.93,6.1,NA,NA,NA,26.4,26.3,40.1,65.7,257.8,1.7,35.7,157.3,4.4,1.4,75.8,415.2,5.5,11.9,8.8,2.8,23.5,5.9,60.8,0.7,1.1,1.8,29.9,18.8,30.8,61,240.6,2.3,39.9,183.2,4.6,1.4,70.7,423.8,6,10.8,9.6,2.3,22.7,6.7,66.6,1.1,1.1,2.2
"33","Maryland","Illinois",63,33,0,5,7,0.417,3,6,0.333,28.5,28.7,3.59,5.34,NA,NA,NA,28.5,10.4,20.1,51.9,141.3,1,40.5,230.3,5.7,2.1,60.6,371.5,6.1,5.2,10.3,1.4,16.9,8.3,79.7,0.8,0.4,1.2,28.7,15.3,28.3,54.3,206.5,1.6,42,183.9,4.4,1.7,70.3,390.4,5.6,8.6,10.2,2.8,21.5,4.8,42.3,0.4,1.5,1.9,4,8,0.333,2,7,0.222,26,39.4,-5.61,1.23,NA,NA,NA,26,14.8,27.3,54,165.7,0.8,40.8,244.8,6,2.1,68.2,410.4,6,7.6,10.4,1.4,19.4,6.3,64.4,0.8,1.2,2,39.4,19.7,31,63.4,263.1,2.5,41.1,245.3,6,2.6,72.1,508.4,7.1,10.9,12.3,1.9,25.1,6,58.8,0.4,1.3,1.7
"34","Michigan State","Purdue",23,13,0,7,5,0.583,5,4,0.556,19.8,18,7.31,5.73,NA,11,11,19.8,19.4,38,51.1,221,1,34.9,122,3.5,1.2,72.9,343,4.7,11.4,6.8,2.1,20.3,6.1,56.3,0.7,1.1,1.8,18,21.8,37,58.8,230.2,1.1,30.4,81.3,2.7,0.7,67.4,311.5,4.6,10.9,4.4,1.5,16.8,5.5,51.6,0.8,1.2,1.9,6,6,0.5,5,4,0.556,31.9,27.3,8.99,6.4,NA,NA,NA,31.9,25.9,39.3,66,317.8,2.3,31.1,141.2,4.5,1.5,70.3,459,6.5,12.2,7.7,2.4,22.3,6.3,64.8,0.5,0.9,1.4,27.3,23.8,38.3,62,280.8,1.4,37.3,164.6,4.4,1.8,75.6,445.3,5.9,12.8,8.8,2,23.6,7.8,77.5,0.3,0.9,1.2
"35","Northwestern","Wisconsin",31,17,0,8,4,0.667,8,1,0.889,23.7,21.7,7.76,5.09,21,NA,20,23.7,22.6,37.8,59.8,237,1.2,37.8,114.8,3,1.8,75.6,351.8,4.7,11.4,6.8,2.6,20.8,2.8,26.7,0.2,1.1,1.3,21.7,21.8,34.8,62.7,238,1.2,33.3,134.7,4,1.1,68.2,372.7,5.5,10.2,7.8,1,18.9,7.2,68.5,0.7,0.8,1.4,7,5,0.583,5,4,0.556,29.3,24.3,6.21,2.71,NA,4,4,29.3,14.4,24.4,59,168.6,1.5,42.8,268.4,6.3,2.3,67.2,437,6.5,8.1,13.2,0.7,21.9,6.1,57.3,0.8,1.1,1.9,24.3,16.9,28.7,59,200.8,1.2,35.9,157.9,4.4,1.4,64.6,358.8,5.6,8.8,7.9,2,18.7,3.6,34.7,0.8,0.8,1.7
"36","Penn State","Iowa",30,24,0,9,3,0.75,6,3,0.667,34.6,20,13.38,4.71,14,10,8,34.6,15.8,28.8,54.8,215.8,1.6,39.9,208.5,5.2,2.8,68.7,424.3,6.2,8.9,10.2,2.3,21.4,4.8,43.9,1,0.6,1.6,20,17.8,33.4,53.4,186.5,1.2,42.3,168.4,4,1.2,75.7,354.9,4.7,9.1,9.4,1.8,20.3,7.8,70.2,0.6,1.1,1.7,8,4,0.667,5,4,0.556,31.5,17.4,13.16,3.07,NA,NA,18,31.5,18.4,31.4,58.6,227.7,2,39,162,4.2,1.6,70.4,389.7,5.5,10.9,8.2,1.8,20.8,5.2,46,0.5,0.8,1.3,17.4,18,30.8,58.4,186.8,1.5,32.8,104.1,3.2,0.7,63.6,290.8,4.6,7.8,7.5,1.3,16.6,5.8,53.2,0.5,1.5,2
"37","Illinois","Minnesota",55,31,0,4,8,0.333,2,7,0.222,26,39.4,-5.61,1.23,NA,NA,NA,26,14.8,27.3,54,165.7,0.8,40.8,244.8,6,2.1,68.2,410.4,6,7.6,10.4,1.4,19.4,6.3,64.4,0.8,1.2,2,39.4,19.7,31,63.4,263.1,2.5,41.1,245.3,6,2.6,72.1,508.4,7.1,10.9,12.3,1.9,25.1,6,58.8,0.4,1.3,1.7,6,6,0.5,3,6,0.333,28.5,27.9,3.71,4.38,NA,NA,NA,28.5,15.3,27.8,55,215.2,1.5,40,163.8,4.1,1.8,67.8,379,5.6,9.5,9,2.3,20.8,3.9,39.8,0.9,1.2,2.1,27.9,21.7,33.1,65.5,223.7,1.8,32.7,170.7,5.2,1.6,65.8,394.3,6,9.8,7.5,1.3,18.6,5.7,54.1,0.8,0.9,1.7
"38","Michigan","Penn State",42,7,0,10,2,0.833,8,1,0.889,36.8,17.6,19.38,5.46,8,14,4,36.8,16.7,25.9,64.3,212.9,1.9,43.3,214.3,5,2.2,69.2,427.3,6.2,9.3,10.9,1.7,21.8,7,67,0.3,0.6,0.8,17.6,12.4,25.5,48.7,139.4,1,34.3,123.1,3.6,1.1,59.8,262.5,4.4,6.3,6.7,2.9,15.9,5.9,57.3,0.5,0.9,1.4,9,3,0.75,6,3,0.667,34.6,20,13.38,4.71,14,10,8,34.6,15.8,28.8,54.8,215.8,1.6,39.9,208.5,5.2,2.8,68.7,424.3,6.2,8.9,10.2,2.3,21.4,4.8,43.9,1,0.6,1.6,20,17.8,33.4,53.4,186.5,1.2,42.3,168.4,4,1.2,75.7,354.9,4.7,9.1,9.4,1.8,20.3,7.8,70.2,0.6,1.1,1.7
"39","Maryland","Michigan State",3,24,1,5,7,0.417,3,6,0.333,28.5,28.7,3.59,5.34,NA,NA,NA,28.5,10.4,20.1,51.9,141.3,1,40.5,230.3,5.7,2.1,60.6,371.5,6.1,5.2,10.3,1.4,16.9,8.3,79.7,0.8,0.4,1.2,28.7,15.3,28.3,54.3,206.5,1.6,42,183.9,4.4,1.7,70.3,390.4,5.6,8.6,10.2,2.8,21.5,4.8,42.3,0.4,1.5,1.9,7,5,0.583,5,4,0.556,19.8,18,7.31,5.73,NA,11,11,19.8,19.4,38,51.1,221,1,34.9,122,3.5,1.2,72.9,343,4.7,11.4,6.8,2.1,20.3,6.1,56.3,0.7,1.1,1.8,18,21.8,37,58.8,230.2,1.1,30.4,81.3,2.7,0.7,67.4,311.5,4.6,10.9,4.4,1.5,16.8,5.5,51.6,0.8,1.2,1.9
"40","Ohio State","Nebraska",36,31,0,11,1,0.917,8,1,0.889,43.3,25.8,17.43,3.85,6,5,2,43.3,28,40.2,69.7,356,3.5,41,188.1,4.6,1.8,81.2,544.1,6.7,16,10.3,2.9,29.2,8.2,76,0.7,0.6,1.3,25.8,17.4,32.5,53.6,237.6,1.3,35.7,161.9,4.5,1.8,68.2,399.5,5.9,9.8,7.3,2.6,19.7,6,60,0.9,0.8,1.7,4,8,0.333,3,6,0.333,30,31.3,3.79,5.13,NA,NA,NA,30,21.4,33.7,63.6,247.2,1.6,38.7,209,5.4,2.1,72.3,456.2,6.3,10.8,10.8,1.5,23.2,7.7,70.8,0.9,0.9,1.8,31.3,19.8,35.3,56.1,237.8,1.3,39.1,195.8,5,2.4,74.4,433.6,5.8,10.8,9.5,2.4,22.7,6.5,56.8,0.8,0.9,1.7
"41","Purdue","Iowa",38,36,0,6,6,0.5,5,4,0.556,31.9,27.3,8.99,6.4,NA,NA,NA,31.9,25.9,39.3,66,317.8,2.3,31.1,141.2,4.5,1.5,70.3,459,6.5,12.2,7.7,2.4,22.3,6.3,64.8,0.5,0.9,1.4,27.3,23.8,38.3,62,280.8,1.4,37.3,164.6,4.4,1.8,75.6,445.3,5.9,12.8,8.8,2,23.6,7.8,77.5,0.3,0.9,1.2,8,4,0.667,5,4,0.556,31.5,17.4,13.16,3.07,NA,NA,18,31.5,18.4,31.4,58.6,227.7,2,39,162,4.2,1.6,70.4,389.7,5.5,10.9,8.2,1.8,20.8,5.2,46,0.5,0.8,1.3,17.4,18,30.8,58.4,186.8,1.5,32.8,104.1,3.2,0.7,63.6,290.8,4.6,7.8,7.5,1.3,16.6,5.8,53.2,0.5,1.5,2
"42","Wisconsin","Rutgers",31,17,0,7,5,0.583,5,4,0.556,29.3,24.3,6.21,2.71,NA,4,4,29.3,14.4,24.4,59,168.6,1.5,42.8,268.4,6.3,2.3,67.2,437,6.5,8.1,13.2,0.7,21.9,6.1,57.3,0.8,1.1,1.9,24.3,16.9,28.7,59,200.8,1.2,35.9,157.9,4.4,1.4,64.6,358.8,5.6,8.8,7.9,2,18.7,3.6,34.7,0.8,0.8,1.7,1,11,0.083,0,9,0,13.5,31.4,-9,4.76,NA,NA,NA,13.5,14.3,29.2,48.9,132.2,0.4,35.1,134.1,3.8,1,64.3,266.3,4.1,6,7.2,2,15.2,6.3,62.3,0.6,1.8,2.4,31.4,16.4,29.5,55.6,187.1,1.8,40.8,214.4,5.3,2.1,70.3,401.5,5.7,9.3,9.6,2.3,21.2,6.5,63,0.5,0.8,1.3
"43","Indiana","Maryland",34,32,0,5,7,0.417,2,7,0.222,26.4,29.9,2.93,6.1,NA,NA,NA,26.4,26.3,40.1,65.7,257.8,1.7,35.7,157.3,4.4,1.4,75.8,415.2,5.5,11.9,8.8,2.8,23.5,5.9,60.8,0.7,1.1,1.8,29.9,18.8,30.8,61,240.6,2.3,39.9,183.2,4.6,1.4,70.7,423.8,6,10.8,9.6,2.3,22.7,6.7,66.6,1.1,1.1,2.2,5,7,0.417,3,6,0.333,28.5,28.7,3.59,5.34,NA,NA,NA,28.5,10.4,20.1,51.9,141.3,1,40.5,230.3,5.7,2.1,60.6,371.5,6.1,5.2,10.3,1.4,16.9,8.3,79.7,0.8,0.4,1.2,28.7,15.3,28.3,54.3,206.5,1.6,42,183.9,4.4,1.7,70.3,390.4,5.6,8.6,10.2,2.8,21.5,4.8,42.3,0.4,1.5,1.9
"44","Rutgers","Michigan",7,42,1,1,11,0.083,0,9,0,13.5,31.4,-9,4.76,NA,NA,NA,13.5,14.3,29.2,48.9,132.2,0.4,35.1,134.1,3.8,1,64.3,266.3,4.1,6,7.2,2,15.2,6.3,62.3,0.6,1.8,2.4,31.4,16.4,29.5,55.6,187.1,1.8,40.8,214.4,5.3,2.1,70.3,401.5,5.7,9.3,9.6,2.3,21.2,6.5,63,0.5,0.8,1.3,10,2,0.833,8,1,0.889,36.8,17.6,19.38,5.46,8,14,4,36.8,16.7,25.9,64.3,212.9,1.9,43.3,214.3,5,2.2,69.2,427.3,6.2,9.3,10.9,1.7,21.8,7,67,0.3,0.6,0.8,17.6,12.4,25.5,48.7,139.4,1,34.3,123.1,3.6,1.1,59.8,262.5,4.4,6.3,6.7,2.9,15.9,5.9,57.3,0.5,0.9,1.4
"45","Minnesota","Purdue",41,10,0,6,6,0.5,3,6,0.333,28.5,27.9,3.71,4.38,NA,NA,NA,28.5,15.3,27.8,55,215.2,1.5,40,163.8,4.1,1.8,67.8,379,5.6,9.5,9,2.3,20.8,3.9,39.8,0.9,1.2,2.1,27.9,21.7,33.1,65.5,223.7,1.8,32.7,170.7,5.2,1.6,65.8,394.3,6,9.8,7.5,1.3,18.6,5.7,54.1,0.8,0.9,1.7,6,6,0.5,5,4,0.556,31.9,27.3,8.99,6.4,NA,NA,NA,31.9,25.9,39.3,66,317.8,2.3,31.1,141.2,4.5,1.5,70.3,459,6.5,12.2,7.7,2.4,22.3,6.3,64.8,0.5,0.9,1.4,27.3,23.8,38.3,62,280.8,1.4,37.3,164.6,4.4,1.8,75.6,445.3,5.9,12.8,8.8,2,23.6,7.8,77.5,0.3,0.9,1.2
"46","Nebraska","Illinois",54,35,0,4,8,0.333,3,6,0.333,30,31.3,3.79,5.13,NA,NA,NA,30,21.4,33.7,63.6,247.2,1.6,38.7,209,5.4,2.1,72.3,456.2,6.3,10.8,10.8,1.5,23.2,7.7,70.8,0.9,0.9,1.8,31.3,19.8,35.3,56.1,237.8,1.3,39.1,195.8,5,2.4,74.4,433.6,5.8,10.8,9.5,2.4,22.7,6.5,56.8,0.8,0.9,1.7,4,8,0.333,2,7,0.222,26,39.4,-5.61,1.23,NA,NA,NA,26,14.8,27.3,54,165.7,0.8,40.8,244.8,6,2.1,68.2,410.4,6,7.6,10.4,1.4,19.4,6.3,64.4,0.8,1.2,2,39.4,19.7,31,63.4,263.1,2.5,41.1,245.3,6,2.6,72.1,508.4,7.1,10.9,12.3,1.9,25.1,6,58.8,0.4,1.3,1.7
"47","Iowa","Northwestern",10,14,1,8,4,0.667,5,4,0.556,31.5,17.4,13.16,3.07,NA,NA,18,31.5,18.4,31.4,58.6,227.7,2,39,162,4.2,1.6,70.4,389.7,5.5,10.9,8.2,1.8,20.8,5.2,46,0.5,0.8,1.3,17.4,18,30.8,58.4,186.8,1.5,32.8,104.1,3.2,0.7,63.6,290.8,4.6,7.8,7.5,1.3,16.6,5.8,53.2,0.5,1.5,2,8,4,0.667,8,1,0.889,23.7,21.7,7.76,5.09,21,NA,20,23.7,22.6,37.8,59.8,237,1.2,37.8,114.8,3,1.8,75.6,351.8,4.7,11.4,6.8,2.6,20.8,2.8,26.7,0.2,1.1,1.3,21.7,21.8,34.8,62.7,238,1.2,33.3,134.7,4,1.1,68.2,372.7,5.5,10.2,7.8,1,18.9,7.2,68.5,0.7,0.8,1.4
"48","Michigan State","Ohio State",6,26,1,7,5,0.583,5,4,0.556,19.8,18,7.31,5.73,NA,11,11,19.8,19.4,38,51.1,221,1,34.9,122,3.5,1.2,72.9,343,4.7,11.4,6.8,2.1,20.3,6.1,56.3,0.7,1.1,1.8,18,21.8,37,58.8,230.2,1.1,30.4,81.3,2.7,0.7,67.4,311.5,4.6,10.9,4.4,1.5,16.8,5.5,51.6,0.8,1.2,1.9,11,1,0.917,8,1,0.889,43.3,25.8,17.43,3.85,6,5,2,43.3,28,40.2,69.7,356,3.5,41,188.1,4.6,1.8,81.2,544.1,6.7,16,10.3,2.9,29.2,8.2,76,0.7,0.6,1.3,25.8,17.4,32.5,53.6,237.6,1.3,35.7,161.9,4.5,1.8,68.2,399.5,5.9,9.8,7.3,2.6,19.7,6,60,0.9,0.8,1.7
"49","Penn State","Wisconsin",22,10,0,9,3,0.75,6,3,0.667,34.6,20,13.38,4.71,14,10,8,34.6,15.8,28.8,54.8,215.8,1.6,39.9,208.5,5.2,2.8,68.7,424.3,6.2,8.9,10.2,2.3,21.4,4.8,43.9,1,0.6,1.6,20,17.8,33.4,53.4,186.5,1.2,42.3,168.4,4,1.2,75.7,354.9,4.7,9.1,9.4,1.8,20.3,7.8,70.2,0.6,1.1,1.7,7,5,0.583,5,4,0.556,29.3,24.3,6.21,2.71,NA,4,4,29.3,14.4,24.4,59,168.6,1.5,42.8,268.4,6.3,2.3,67.2,437,6.5,8.1,13.2,0.7,21.9,6.1,57.3,0.8,1.1,1.9,24.3,16.9,28.7,59,200.8,1.2,35.9,157.9,4.4,1.4,64.6,358.8,5.6,8.8,7.9,2,18.7,3.6,34.7,0.8,0.8,1.7
"50","Illinois","Iowa",0,63,1,4,8,0.333,2,7,0.222,26,39.4,-5.61,1.23,NA,NA,NA,26,14.8,27.3,54,165.7,0.8,40.8,244.8,6,2.1,68.2,410.4,6,7.6,10.4,1.4,19.4,6.3,64.4,0.8,1.2,2,39.4,19.7,31,63.4,263.1,2.5,41.1,245.3,6,2.6,72.1,508.4,7.1,10.9,12.3,1.9,25.1,6,58.8,0.4,1.3,1.7,8,4,0.667,5,4,0.556,31.5,17.4,13.16,3.07,NA,NA,18,31.5,18.4,31.4,58.6,227.7,2,39,162,4.2,1.6,70.4,389.7,5.5,10.9,8.2,1.8,20.8,5.2,46,0.5,0.8,1.3,17.4,18,30.8,58.4,186.8,1.5,32.8,104.1,3.2,0.7,63.6,290.8,4.6,7.8,7.5,1.3,16.6,5.8,53.2,0.5,1.5,2
"51","Michigan","Indiana",31,20,0,10,2,0.833,8,1,0.889,36.8,17.6,19.38,5.46,8,14,4,36.8,16.7,25.9,64.3,212.9,1.9,43.3,214.3,5,2.2,69.2,427.3,6.2,9.3,10.9,1.7,21.8,7,67,0.3,0.6,0.8,17.6,12.4,25.5,48.7,139.4,1,34.3,123.1,3.6,1.1,59.8,262.5,4.4,6.3,6.7,2.9,15.9,5.9,57.3,0.5,0.9,1.4,5,7,0.417,2,7,0.222,26.4,29.9,2.93,6.1,NA,NA,NA,26.4,26.3,40.1,65.7,257.8,1.7,35.7,157.3,4.4,1.4,75.8,415.2,5.5,11.9,8.8,2.8,23.5,5.9,60.8,0.7,1.1,1.8,29.9,18.8,30.8,61,240.6,2.3,39.9,183.2,4.6,1.4,70.7,423.8,6,10.8,9.6,2.3,22.7,6.7,66.6,1.1,1.1,2.2
"52","Nebraska","Michigan State",9,6,0,4,8,0.333,3,6,0.333,30,31.3,3.79,5.13,NA,NA,NA,30,21.4,33.7,63.6,247.2,1.6,38.7,209,5.4,2.1,72.3,456.2,6.3,10.8,10.8,1.5,23.2,7.7,70.8,0.9,0.9,1.8,31.3,19.8,35.3,56.1,237.8,1.3,39.1,195.8,5,2.4,74.4,433.6,5.8,10.8,9.5,2.4,22.7,6.5,56.8,0.8,0.9,1.7,7,5,0.583,5,4,0.556,19.8,18,7.31,5.73,NA,11,11,19.8,19.4,38,51.1,221,1,34.9,122,3.5,1.2,72.9,343,4.7,11.4,6.8,2.1,20.3,6.1,56.3,0.7,1.1,1.8,18,21.8,37,58.8,230.2,1.1,30.4,81.3,2.7,0.7,67.4,311.5,4.6,10.9,4.4,1.5,16.8,5.5,51.6,0.8,1.2,1.9
"53","Minnesota","Northwestern",14,24,1,6,6,0.5,3,6,0.333,28.5,27.9,3.71,4.38,NA,NA,NA,28.5,15.3,27.8,55,215.2,1.5,40,163.8,4.1,1.8,67.8,379,5.6,9.5,9,2.3,20.8,3.9,39.8,0.9,1.2,2.1,27.9,21.7,33.1,65.5,223.7,1.8,32.7,170.7,5.2,1.6,65.8,394.3,6,9.8,7.5,1.3,18.6,5.7,54.1,0.8,0.9,1.7,8,4,0.667,8,1,0.889,23.7,21.7,7.76,5.09,21,NA,20,23.7,22.6,37.8,59.8,237,1.2,37.8,114.8,3,1.8,75.6,351.8,4.7,11.4,6.8,2.6,20.8,2.8,26.7,0.2,1.1,1.3,21.7,21.8,34.8,62.7,238,1.2,33.3,134.7,4,1.1,68.2,372.7,5.5,10.2,7.8,1,18.9,7.2,68.5,0.7,0.8,1.4
"54","Maryland","Ohio State",51,52,1,5,7,0.417,3,6,0.333,28.5,28.7,3.59,5.34,NA,NA,NA,28.5,10.4,20.1,51.9,141.3,1,40.5,230.3,5.7,2.1,60.6,371.5,6.1,5.2,10.3,1.4,16.9,8.3,79.7,0.8,0.4,1.2,28.7,15.3,28.3,54.3,206.5,1.6,42,183.9,4.4,1.7,70.3,390.4,5.6,8.6,10.2,2.8,21.5,4.8,42.3,0.4,1.5,1.9,11,1,0.917,8,1,0.889,43.3,25.8,17.43,3.85,6,5,2,43.3,28,40.2,69.7,356,3.5,41,188.1,4.6,1.8,81.2,544.1,6.7,16,10.3,2.9,29.2,8.2,76,0.7,0.6,1.3,25.8,17.4,32.5,53.6,237.6,1.3,35.7,161.9,4.5,1.8,68.2,399.5,5.9,9.8,7.3,2.6,19.7,6,60,0.9,0.8,1.7
"55","Rutgers","Penn State",7,20,1,1,11,0.083,0,9,0,13.5,31.4,-9,4.76,NA,NA,NA,13.5,14.3,29.2,48.9,132.2,0.4,35.1,134.1,3.8,1,64.3,266.3,4.1,6,7.2,2,15.2,6.3,62.3,0.6,1.8,2.4,31.4,16.4,29.5,55.6,187.1,1.8,40.8,214.4,5.3,2.1,70.3,401.5,5.7,9.3,9.6,2.3,21.2,6.5,63,0.5,0.8,1.3,9,3,0.75,6,3,0.667,34.6,20,13.38,4.71,14,10,8,34.6,15.8,28.8,54.8,215.8,1.6,39.9,208.5,5.2,2.8,68.7,424.3,6.2,8.9,10.2,2.3,21.4,4.8,43.9,1,0.6,1.6,20,17.8,33.4,53.4,186.5,1.2,42.3,168.4,4,1.2,75.7,354.9,4.7,9.1,9.4,1.8,20.3,7.8,70.2,0.6,1.1,1.7
"56","Purdue","Wisconsin",44,47,1,6,6,0.5,5,4,0.556,31.9,27.3,8.99,6.4,NA,NA,NA,31.9,25.9,39.3,66,317.8,2.3,31.1,141.2,4.5,1.5,70.3,459,6.5,12.2,7.7,2.4,22.3,6.3,64.8,0.5,0.9,1.4,27.3,23.8,38.3,62,280.8,1.4,37.3,164.6,4.4,1.8,75.6,445.3,5.9,12.8,8.8,2,23.6,7.8,77.5,0.3,0.9,1.2,7,5,0.583,5,4,0.556,29.3,24.3,6.21,2.71,NA,4,4,29.3,14.4,24.4,59,168.6,1.5,42.8,268.4,6.3,2.3,67.2,437,6.5,8.1,13.2,0.7,21.9,6.1,57.3,0.8,1.1,1.9,24.3,16.9,28.7,59,200.8,1.2,35.9,157.9,4.4,1.4,64.6,358.8,5.6,8.8,7.9,2,18.7,3.6,34.7,0.8,0.8,1.7
